name,region,network,range,private_ip_google_access
default,us-central1,default,10.128.0.0/20,False
default,europe-west1,default,10.132.0.0/20,False
default,us-west1,default,10.138.0.0/20,False
default,asia-east1,default,10.140.0.0/20,False
default,us-east1,default,10.142.0.0/20,False
default,asia-northeast1,default,10.146.0.0/20,False
default,asia-southeast1,default,10.148.0.0/20,False
default,us-east4,default,10.150.0.0/20,False
default,australia-southeast1,default,10.152.0.0/20,False
default,europe-west2,default,10.154.0.0/20,False
default,europe-west3,default,10.156.0.0/20,False
default,southamerica-east1,default,10.158.0.0/20,False
default,asia-south1,default,10.160.0.0/20,False
default,northamerica-northeast1,default,10.162.0.0/20,False
default,europe-west4,default,10.164.0.0/20,False
default,europe-north1,default,10.166.0.0/20,False
default,us-west2,default,10.168.0.0/20,False
default,asia-east2,default,10.170.0.0/20,False
default,europe-west6,default,10.172.0.0/20,False
default,asia-northeast2,default,10.174.0.0/20,False
default,asia-northeast3,default,10.178.0.0/20,False
default,us-west3,default,10.180.0.0/20,False
default,us-west4,default,10.182.0.0/20,False
default,asia-southeast2,default,10.184.0.0/20,False
default,europe-central2,default,10.186.0.0/20,False
default,northamerica-northeast2,default,10.188.0.0/20,False
default,asia-south2,default,10.190.0.0/20,False
default,australia-southeast2,default,10.192.0.0/20,False
default,southamerica-west1,default,10.194.0.0/20,False
default,europe-west8,default,10.198.0.0/20,False
default,europe-west9,default,10.200.0.0/20,False
default,us-east5,default,10.202.0.0/20,False
default,europe-southwest1,default,10.204.0.0/20,False
default,us-south1,default,10.206.0.0/20,False
default,me-west1,default,10.208.0.0/20,False
default,europe-west12,default,10.210.0.0/20,False
default,me-central1,default,10.212.0.0/20,False
default,europe-west10,default,10.214.0.0/20,False
default,africa-south1,default,10.218.0.0/20,False
default,northamerica-south1,default,10.224.0.0/20,False
default,europe-north2,default,10.226.0.0/20,False
gke-gke-longevity-primary-8c1944c6-pe-subnet,europe-north2,vpc-longevity,172.16.0.16/28,False
subnet-gke-primary,europe-north2,vpc-longevity,10.10.0.0/20,True
